iso_country,iata_code,ident,name,municipality,elevation_ft,type,gps_code,coordinates
UA,KWG,UKDR,Kryvyi Rih Intl. Apt.,Kryvyi Rih,408,medium_airport,UKDR,"48.04330062866211, 33.209999084472656"
UA,UKS,UKFB,Sevastopol Intl. Apt. / Belbek Air Base,Sevastopol,344,medium_airport,UKFB,"44.691822, 33.57462"
UA,SIP,UKFF,Simferopol Intl. Apt.,Simferopol,639,medium_airport,UKFF,"45.0522, 33.975101"
UA,KHC,UKFK,Kerch Apt.,Kerch,171,small_airport,UKFK,"45.372501, 36.401402"
OM,UKH,UKH,Mukhaizna Apt.,Mukhaizna Oil Field,473,small_airport,OOMK,"19.386389, 56.401389"
UA,HRK,UKHH,Kharkiv Intl. Apt.,Kharkiv,508,medium_airport,UKHH,"49.924801, 36.290001"
UA,PLV,UKHP,Suprunovka Apt.,Poltava,505,small_airport,UKHP,"49.5686, 34.397202"
UA,UMY,UKHS,Sumy Apt.,Sumy,594,small_airport,UKHS,"50.858299, 34.762501"
UA,CKC,UKKE,Cherkasy Intl. Apt.,Cherkasy,375,medium_airport,UKKE,"49.4156, 31.9953"
UA,KGO,UKKG,Kirovograd Apt.,Kirovograd,568,small_airport,UKKG,"48.542801, 32.285"
UA,IEV,UKKK,Ihor Sikorsky Kyiv Intl. Apt. (Zhuliany),Kyiv,587,medium_airport,UKKK,"50.40194, 30.45194"
UA,ZTR,UKKV,Zhytomyr Apt.,,,small_airport,UKKV,"50.270556, 28.738611"
UA,UCK,UKLC,Lutsk Apt.,Lutsk,774,small_airport,UKLC,"50.678404, 25.487165"
UA,HMJ,UKLH,Khmelnytskyi Apt.,Khmelnytskyi,1150,medium_airport,UKLH,"49.359699, 26.933399"
UA,IFO,UKLI,Ivano-Frankivsk Intl. Apt.,Ivano-Frankivsk,919,medium_airport,UKLI,"48.88420104980469, 24.686100006103516"
UA,LWO,UKLL,Lviv Intl. Apt.,Lviv,1071,large_airport,UKLL,"49.8125, 23.9561"
UA,CWC,UKLN,Chernivtsi Intl. Apt.,Chernivtsi,826,medium_airport,UKLN,"48.259300231933594, 25.98080062866211"
UA,RWN,UKLR,Rivne Intl. Apt.,Rivne,755,medium_airport,UKLR,"50.60710144042969, 26.141599655151367"
UA,TNL,UKLT,Ternopil Intl. Apt.,Ternopil,1072,small_airport,UKLT,"49.5242, 25.7001"
UA,UDJ,UKLU,Uzhhorod Intl. Apt.,Uzhhorod,383,medium_airport,UKLU,"48.6343, 22.263399"
UA,KHE,UKOH,Kherson Intl. Apt.,Kherson,148,medium_airport,UKOH,"46.6758, 32.506401"
UA,NLV,UKON,Mykolaiv Intl. Apt.,Nikolayev,184,medium_airport,UKON,"47.057899, 31.9198"
UA,ODS,UKOO,Odessa Intl. Apt.,Odessa,172,medium_airport,UKOO,"46.4268, 30.6765"
UA,VIN,UKWW,Vinnytsia/Gavyryshivka Intl. Apt.,Vinnitsa,961,medium_airport,UKWW,"49.242531, 28.613778"
RU,ARH,ULAA,Talagi Apt.,Archangelsk,62,medium_airport,ULAA,"64.60030364990234, 40.71670150756836"
RU,VKV,ULAH,Vaskovo Apt.,Arkhangelsk,82,medium_airport,ULAH,"64.441704, 40.4217"
RU,LDG,ULAL,Leshukonskoye Apt.,Leshukonskoye,220,small_airport,ULAL,"64.8960037231, 45.7229995728"
